gpsfilename;frame;lat;lon;frame_del;min;max;thickness
_2_ 09.04.2016 5_24_49.gps;1287;51.85739;104.9826483;1287;2.97;5.97;26
_2_ 09.04.2016 5_24_49.gps;1305;51.85741167;104.9827733;1305;3.11;6.22;27
_2_ 09.04.2016 5_24_49.gps;1323;51.85743167;104.9828967;1323;3.05;6.41;30
_2_ 09.04.2016 5_24_49.gps;1341;51.85745;104.9830217;1341;2.88;6.38;31
_2_ 09.04.2016 5_24_49.gps;1359;51.85746833;104.9831483;1359;2.97;5.91;26
_2_ 09.04.2016 5_24_49.gps;1396;51.857485;104.98328;1396;2.88;6.97;36
_2_ 09.04.2016 5_24_49.gps;1414;51.85750167;104.983415;1414;3.02;6.25;29
_2_ 09.04.2016 5_24_49.gps;1432;51.85751667;104.9835417;1432;3.11;6.58;31
_2_ 09.04.2016 5_24_49.gps;1450;51.857535;104.98367;1450;3;6.44;30
_2_ 09.04.2016 5_24_49.gps;1457;51.85755167;104.9838033;1457;3.02;6.36;30
_2_ 09.04.2016 5_24_49.gps;1485;51.85757;104.983935;1485;2.97;6.05;27
_2_ 09.04.2016 5_24_49.gps;1503;51.85758833;104.9840667;1503;3;6.44;30
_2_ 09.04.2016 5_24_49.gps;1521;51.85760333;104.9841983;1521;3.02;6.86;34
_2_ 09.04.2016 5_24_49.gps;1539;51.85761833;104.9843283;1539;3;6.5;31
_2_ 09.04.2016 5_24_49.gps;1557;51.857635;104.98446;1557;3;6.88;34
_2_ 09.04.2016 5_24_49.gps;1593;51.857655;104.98459;1593;3.11;6.47;30
_2_ 09.04.2016 5_24_49.gps;1611;51.85767167;104.9847233;1611;3.16;6.61;31
_2_ 09.04.2016 5_24_49.gps;1629;51.85768667;104.9848567;1629;2.94;6.22;29
_2_ 09.04.2016 5_24_49.gps;1647;51.85770167;104.98499;1647;3.13;6.47;30
_2_ 09.04.2016 5_24_49.gps;1665;51.857715;104.985125;1665;3.22;6.13;26
_2_ 09.04.2016 5_24_49.gps;1700;51.85773;104.98526;1700;3.16;6.47;29
_2_ 09.04.2016 5_24_49.gps;1717;51.85774333;104.985395;1717;3.16;6.3;28
_2_ 09.04.2016 5_24_49.gps;1735;51.85775667;104.9855317;1735;3.16;5.55;21
_2_ 09.04.2016 5_24_49.gps;1754;51.85777333;104.98567;1754;3.22;5.16;17
_2_ 09.04.2016 5_24_49.gps;1770;51.85778833;104.9858083;1770;3.16;5.47;20
_2_ 09.04.2016 5_24_49.gps;1808;51.85780333;104.9859467;1808;3.25;5.36;18
_2_ 09.04.2016 5_24_49.gps;1826;51.85782;104.986085;1826;3.11;5.55;21
_2_ 09.04.2016 5_24_49.gps;1844;51.857835;104.9862217;1844;3.05;6.3;29
_2_ 09.04.2016 5_24_49.gps;1862;51.85785;104.9863567;1862;3.11;6.38;29
_2_ 09.04.2016 5_24_49.gps;1880;51.85786667;104.9864917;1880;3.19;6.55;30
_2_ 09.04.2016 5_24_49.gps;1917;51.85788167;104.986625;1917;3.13;6.61;31
_2_ 09.04.2016 5_24_49.gps;1935;51.85789833;104.9867617;1935;3.22;6.55;29
_2_ 09.04.2016 5_24_49.gps;1953;51.85791667;104.9868967;1953;3.19;6.38;28
_2_ 09.04.2016 5_24_49.gps;1971;51.85793333;104.987035;1971;3.19;6.55;30
_2_ 09.04.2016 5_24_49.gps;1988;51.85795;104.9871733;1988;3.25;6.13;25
_2_ 09.04.2016 5_24_49.gps;2024;51.857965;104.98731;2024;3.27;6.44;28
_2_ 09.04.2016 5_24_49.gps;2042;51.85798;104.9874467;2042;3.16;6.63;31
_2_ 09.04.2016 5_24_49.gps;2060;51.857995;104.9875833;2060;3.08;6.77;33
_2_ 09.04.2016 5_24_49.gps;2077;51.85801;104.98772;2077;3.13;6.47;30
_2_ 09.04.2016 5_24_49.gps;2094;51.85802333;104.9878583;2094;3.16;6.61;31
_2_ 09.04.2016 5_24_49.gps;2131;51.85803833;104.987995;2131;3.08;6.16;27
_2_ 09.04.2016 5_24_49.gps;2149;51.85805167;104.9881317;2149;3.08;6.47;30
_2_ 09.04.2016 5_24_49.gps;2168;51.85806833;104.9882683;2168;3;6.19;28
_2_ 09.04.2016 5_24_49.gps;2186;51.858085;104.9884083;2186;2.97;6.77;34
_2_ 09.04.2016 5_24_49.gps;2204;51.85810167;104.988545;2204;2.97;6.22;29
_2_ 09.04.2016 5_24_49.gps;2241;51.85811667;104.98868;2241;2.97;6.72;33
_2_ 09.04.2016 5_24_49.gps;2259;51.85813333;104.9888167;2259;2.94;6.77;34
_2_ 09.04.2016 5_24_49.gps;2276;51.85814833;104.9889533;2276;2.91;6.5;32
_2_ 09.04.2016 5_24_49.gps;2294;51.85816333;104.9890867;2294;2.97;6.19;28
_2_ 09.04.2016 5_24_49.gps;2312;51.85817833;104.98922;2312;2.94;6.55;32
_2_ 09.04.2016 5_24_49.gps;2349;51.858195;104.9893533;2349;3;6.44;30
_2_ 09.04.2016 5_24_49.gps;2368;51.85821;104.9894867;2368;3;6.27;29
_2_ 09.04.2016 5_24_49.gps;2386;51.858225;104.98962;2386;3;6.66;32
_2_ 09.04.2016 5_24_49.gps;2404;51.85824167;104.9897533;2404;3;6.72;33
_2_ 09.04.2016 5_24_49.gps;2422;51.85825667;104.989885;2422;3.08;6.61;31
_2_ 09.04.2016 5_24_49.gps;2460;51.85827167;104.9900167;2460;3;6.22;28
_2_ 09.04.2016 5_24_49.gps;2479;51.858285;104.99015;2479;2.97;6.47;31
_2_ 09.04.2016 5_24_49.gps;2497;51.85830167;104.9902883;2497;3;5.97;26
_2_ 09.04.2016 5_24_49.gps;2515;51.85831667;104.9904267;2515;3;6.16;28
_2_ 09.04.2016 5_24_49.gps;2533;51.85833167;104.9905633;2533;2.97;5.94;26
_2_ 09.04.2016 5_24_49.gps;2570;51.85834667;104.9906983;2570;3.16;6.3;28
_2_ 09.04.2016 5_24_49.gps;2589;51.85836;104.990835;2589;3.11;6.52;30
_2_ 09.04.2016 5_24_49.gps;2607;51.85837333;104.99097;2607;3.16;6.25;27
_2_ 09.04.2016 5_24_49.gps;2625;51.85839;104.9911083;2625;3.13;5.97;25
_2_ 09.04.2016 5_24_49.gps;2644;51.85840667;104.9912467;2644;3.16;6.52;30
_2_ 09.04.2016 5_24_49.gps;2681;51.858425;104.99138;2681;3.11;6.47;30
_2_ 09.04.2016 5_24_49.gps;2700;51.85844;104.9915167;2700;3.05;6.16;27
_2_ 09.04.2016 5_24_49.gps;2717;51.85845333;104.9916533;2717;3.11;6.25;28
_2_ 09.04.2016 5_24_49.gps;2735;51.85846667;104.9917883;2735;3.02;6.27;29
