;frame_st;frame_end;date;time;type;Z;tk_min;tk_max;amplitude;middle;jumps;other;file_name;file_source
111;0;6816;15.04.2016;;οπτ.;;48.1629435;87.39027595;39.22733246;75.41655716;1;;_270_ 15.04.2016 9_12_32.gps;gps, dat
112;9827;10598;15.04.2016;;οπτ.;;53.61366623;83.36925099;29.75558476;72.46780552;1;;_270_ 15.04.2016 9_12_32.gps;gps, dat
113;0;2443;13.04.2016;;οπτ.;;15.19053876;83.10118265;67.91064389;68.53613666;1;;_232_ 13.04.2016 9_34_34.gps;gps, dat
114;3648;5675;13.04.2016;;οπτ.;;17.60315375;72.19973719;54.59658344;52.36268068;2;;_232_ 13.04.2016 9_34_34.gps;gps, dat
115;6278;7242;13.04.2016;;οπτ.;;34.75952694;87.39027595;52.63074901;68;3;;_232_ 13.04.2016 9_34_34.gps;gps, dat
116;0;1;14.04.2016;;οπτ.;;60.04730618;189.6136662;129.5663601;124.8304862;1;;_245_ 14.04.2016 8_43_39.gps;gps, dat
117;0;2757;13.04.2016;;οπτ.;;12.42049934;89.35611038;76.93561104;65.31931669;2;;_231_ 13.04.2016 9_20_27.gps;gps, dat
118;6370;7091;13.04.2016;;οπτ.;;30.02365309;100.2575558;70.23390276;60.40473062;2;;_231_ 13.04.2016 9_20_27.gps;gps, dat
119;7694;10261;13.04.2016;;οπτ.;;40.21024967;87.8370565;47.62680683;66.48094612;2;;_231_ 13.04.2016 9_20_27.gps;gps, dat
120;10864;12742;13.04.2016;;οπτ.;;14.6544021;67.73193167;53.07752957;52.36268068;1;;_231_ 13.04.2016 9_20_27.gps;gps, dat
121;13044;15038;13.04.2016;;οπτ.;;18.85413929;80.42049934;61.56636005;64.78318003;2;;_231_ 13.04.2016 9_20_27.gps;gps, dat
122;0;1083;14.04.2016;;οπτ.;;32.25755585;183.1800263;150.9224704;73.00394218;4;;_260_ 14.04.2016 13_31_56.gps;gps, dat
123;1385;1746;14.04.2016;;οπτ.;;48.69908016;91.85808147;43.15900131;80.19710907;1;;_260_ 14.04.2016 13_31_56.gps;gps, dat
124;0;40326;10.04.2016;;οπτ.;;3.752956636;60.04730618;56.29434954;19.8370565;5;;_201_ 10.04.2016 9_05_09.gps;gps, dat
125;54173;68946;10.04.2016;;οπτ.;;6.701708279;45.92904074;39.22733246;23.59001314;1;;_201_ 10.04.2016 9_05_09.gps;gps, dat
126;70151;78856;10.04.2016;;οπτ.;;4.467805519;55.57950066;51.11169514;39.94218134;2;;_201_ 10.04.2016 9_05_09.gps;gps, dat
127;0;103;14.04.2016;;οπτ.;;94.27069645;186.6649146;92.39421813;97.84494087;1;;_257_ 14.04.2016 12_14_18.gps;gps, dat
128;0;5771;08.04.2016;;οπτ.;;16.17345598;78.99080158;62.8173456;29.04073587;2;;_1_ 08.04.2016 12_17_54.gps;gps, dat
129;7578;9337;08.04.2016;;οπτ.;;15.10118265;70.23390276;55.13272011;27.61103811;1;;_1_ 08.04.2016 12_17_54.gps;gps, dat
